IDR,GO_molfunc_terms,GO_cellcom_terms,n_GO_molfunc_terms,n_GO_cellcom_terms
A0A1B0GTS1_188_333,transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; sequence-specific double-stranded DNA binding,nucleus; intracellular membrane-bounded organelle,8,2
A0A1B0GTS1_1_75,transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; sequence-specific double-stranded DNA binding,nucleus; intracellular membrane-bounded organelle,8,2
A0A1B0GTU1_94_805,nucleic acid binding; RNA binding; mRNA binding; metal ion binding,,4,0
A0A1B0GTW7_1_97,metalloendopeptidase activity; metal ion binding; other,cytoplasm,3,1
A0A1B0GTW7_593_788,metalloendopeptidase activity; metal ion binding; other,cytoplasm,3,1
A0A1B0GTW7_193_265,metalloendopeptidase activity; metal ion binding; other,cytoplasm,3,1
A0A1B0GTY4_146_177,,,0,0
A0A1B0GTY4_1_71,,,0,0
A0A1B0GTZ2_118_161,,,0,0
A0A1B0GTZ2_222_297,,,0,0
A0A1B0GU29_1_46,,,0,0
A0A1B0GU29_82_152,,,0,0
A0A1B0GU33_1_70,,,0,0
A0A1B0GUA5_1_103,,,0,0
A0A1B0GUA6_38_201,,,0,0
A0A1B0GUA7_110_166,,,0,0
A0A1B0GUA7_1_47,,,0,0
A0A1B0GUA9_1_212,,,0,0
A0A1B0GUC4_1_108,,,0,0
A0A1B0GUI7_1_84,,,0,0
A0A1B0GUJ8_135_204,,,0,0
A0A1B0GUQ0_1_79,,,0,0
A0A1B0GUS0_88_222,,,0,0
A0A1B0GUT2_1_108,,,0,0
A0A1B0GUU1_83_130,,,0,0
A0A1B0GUV1_1_79,,,0,0
A0A1B0GUV7_1_120,,,0,0
A0A1B0GUW6_66_1196,,,0,0
A0A1B0GUY1_1_285,structural molecule activity; extracellular matrix structural constituent,extracellular region; extracellular space; extracellular matrix,2,3
A0A1B0GV03_458_622,,cytoplasm; Golgi apparatus; intracellular membrane-bounded organelle,0,3
A0A1B0GV03_209_249,,cytoplasm; Golgi apparatus; intracellular membrane-bounded organelle,0,3
A0A1B0GV03_1_64,,cytoplasm; Golgi apparatus; intracellular membrane-bounded organelle,0,3
A0A1B0GV22_1_79,,,0,0
A0A1B0GV85_167_526,,,0,0
A0A1B0GVD1_110_139,,,0,0
A0A1B0GVG4_195_234,,,0,0
A0A1B0GVG4_1_61,,,0,0
A0A1B0GVG6_1_124,,,0,0
A0A1B0GVH4_1_220,other,extracellular region,1,1
A0A1B0GVH6_1_325,,,0,0
A0A1B0GVH7_1_285,,,0,0
A0A1B0GVM5_1_59,,,0,0
A0A1B0GVM6_1_126,,cytoplasm; microtubule organizing center; cytoskeleton; cilium; microtubule cytoskeleton; ciliary basal body; cell projection,0,7
A0A1B0GVN3_1_265,,,0,0
A0A1B0GVQ0_47_90,,cytoplasm; endosome; late endosome; endosome membrane; membrane; cytoplasmic vesicle membrane; cytoplasmic vesicle; intracellular membrane-bounded organelle,0,8
A0A1B0GVQ3_47_168,,,0,0
A0A1B0GVS7_1_189,,,0,0
A0A1B0GVT2_38_93,,,0,0
A0A1B0GVV1_39_85,,,0,0
A0A1B0GVX0_1_72,zinc ion binding; metal ion binding,nucleus; cytoplasm; lysosome; lysosomal membrane; endosome; late endosome; endosome membrane; membrane; cytoplasmic vesicle membrane; cytoplasmic vesicle; intracellular membrane-bounded organelle,2,11
A0A1B0GVY4_31_71,,axon; cell projection; neuron projection,0,3
A0A1B0GVZ6_1_165,,,0,0
A0A1B0GW64_1_132,,,0,0
A0A1B0GWB2_1_263,,membrane,0,1
A0A1B0GWH4_1_75,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; sequence-specific double-stranded DNA binding",chromatin; nucleus; chromosome; protein-containing complex; intracellular membrane-bounded organelle,9,5
A0A1B0GWH4_188_333,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; sequence-specific double-stranded DNA binding",chromatin; nucleus; chromosome; protein-containing complex; intracellular membrane-bounded organelle,9,5
A0A1W2PP97_1_45,,,0,0
A0A1W2PPF3_72_112,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,8,2
A0A1W2PPF3_156_345,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,8,2
A0A1W2PPM1_96_405,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,9,2
A0A1W2PQ73_1_41,"DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding",nucleus; intracellular membrane-bounded organelle,5,2
A0A1W2PQ73_124_354,"DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding",nucleus; intracellular membrane-bounded organelle,5,2
A0A1W2PR48_1_146,transcription coregulator activity; transcription corepressor activity,nucleus; transcription regulator complex; protein-containing complex; intracellular membrane-bounded organelle,2,4
A0A1W2PR82_234_267,,,0,0
A0A1W2PR82_1_81,,,0,0
A0A1W2PR82_131_181,,,0,0
A0A1W2PRP0_116_233,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,9,2
A0A1W2PS18_1_115,,membrane; intracellular membrane-bounded organelle,0,2
A0A286YEV6_1_105,,cytoskeleton,0,1
A0A286YEX9_1_47,,cytoskeleton,0,1
A0A286YEY9_1_88,,cytoskeleton,0,1
A0A286YF01_1_96,,cytoskeleton,0,1
A0A286YF46_1_85,,cytoskeleton,0,1
A0A286YF58_1_205,,,0,0
A0A286YF58_259_385,,,0,0
A0A286YF60_1_100,,cytoskeleton,0,1
A0A286YF77_1_105,,cytoskeleton,0,1
A0A286YFB4_1_120,,cytoskeleton,0,1
A0A286YFG1_1_108,,cytoskeleton,0,1
A0A2R8Y4Y8_103_160,,extracellular region,0,1
A0A2R8YFL7_120_184,,extracellular region,0,1
A0A2R8YFM6_113_193,,extracellular region,0,1
A0A2Z4LIS9_1_238,nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding,cytoplasm; cytosol,4,2
A0A3B3IT52_123_213,,,0,0
A0A3B3IT52_1_34,,,0,0
A0A494C086_1_189,enzyme binding; protein kinase binding,,2,0
A0A494C086_275_341,enzyme binding; protein kinase binding,,2,0
A0A494C0N9_1_108,,,0,0
A0A494C0N9_159_232,,,0,0
A0A494C0Y3_1_106,,,0,0
A0A494C0Y3_161_232,,,0,0
A0A494C0Z2_1_102,enzyme binding; protein kinase binding,,2,0
A0A494C191_1_102,enzyme binding; protein kinase binding,,2,0
A0A5F9ZHS7_101_289,nucleic acid binding; DNA binding; DNA-binding transcription factor activity,nucleus; intracellular membrane-bounded organelle,3,2
A0AUZ9_413_987,enzyme binding,chromatin; chromosome; protein-containing complex,1,3
A0AUZ9_260_367,enzyme binding,chromatin; chromosome; protein-containing complex,1,3
A0AUZ9_1_217,enzyme binding,chromatin; chromosome; protein-containing complex,1,3
A0AV02_647_714,other,,1,0
A0AV02_1_40,other,,1,0
A0AV02_405_594,other,,1,0
A0AV96_1_30,nucleic acid binding; RNA binding; mRNA binding,nucleus; intracellular membrane-bounded organelle,3,2
A0AV96_318_593,nucleic acid binding; RNA binding; mRNA binding,nucleus; intracellular membrane-bounded organelle,3,2
A0AVF1_1_32,protein-containing complex binding,centrosome; microtubule organizing center; cytoskeleton; cilium; microtubule cytoskeleton; protein-containing complex; ciliary basal body; cell projection; neuron projection,1,9
A0AVI2_121_328,calcium ion binding; metal ion binding; other,cytoplasm; plasma membrane; membrane; cytoplasmic vesicle; sarcolemma; intracellular membrane-bounded organelle,3,6
A0AVI2_952_1072,calcium ion binding; metal ion binding; other,cytoplasm; plasma membrane; membrane; cytoplasmic vesicle; sarcolemma; intracellular membrane-bounded organelle,3,6
A0AVI2_1336_1400,calcium ion binding; metal ion binding; other,cytoplasm; plasma membrane; membrane; cytoplasmic vesicle; sarcolemma; intracellular membrane-bounded organelle,3,6
A0AVI2_1927_2057,calcium ion binding; metal ion binding; other,cytoplasm; plasma membrane; membrane; cytoplasmic vesicle; sarcolemma; intracellular membrane-bounded organelle,3,6
A0AVI2_433_473,calcium ion binding; metal ion binding; other,cytoplasm; plasma membrane; membrane; cytoplasmic vesicle; sarcolemma; intracellular membrane-bounded organelle,3,6
A0AVK6_1_122,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription repressor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; identical protein binding; sequence-specific DNA binding; sequence-specific double-stranded DNA binding",chromatin; nucleus; nucleoplasm; transcription regulator complex; chromosome; nucleolus; cytoplasm; cytosol; protein-containing complex; intracellular membrane-bounded organelle,11,10
A0AVK6_209_268,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription repressor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; identical protein binding; sequence-specific DNA binding; sequence-specific double-stranded DNA binding",chromatin; nucleus; nucleoplasm; transcription regulator complex; chromosome; nucleolus; cytoplasm; cytosol; protein-containing complex; intracellular membrane-bounded organelle,11,10
A0AVK6_339_867,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription repressor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; identical protein binding; sequence-specific DNA binding; sequence-specific double-stranded DNA binding",chromatin; nucleus; nucleoplasm; transcription regulator complex; chromosome; nucleolus; cytoplasm; cytosol; protein-containing complex; intracellular membrane-bounded organelle,11,10
A0AVT1_1_43,ATP binding; other,nucleus; cytoplasm; cytosol; intracellular membrane-bounded organelle,2,4
A0FGR8_656_778,calcium ion binding; phosphatidylinositol binding; identical protein binding; cadherin binding; metal ion binding; other,cytoplasm; endoplasmic reticulum; endoplasmic reticulum membrane; cytosol; plasma membrane; membrane; extrinsic component of membrane; intracellular membrane-bounded organelle; other,6,9
A0FGR8_1_192,calcium ion binding; phosphatidylinositol binding; identical protein binding; cadherin binding; metal ion binding; other,cytoplasm; endoplasmic reticulum; endoplasmic reticulum membrane; cytosol; plasma membrane; membrane; extrinsic component of membrane; intracellular membrane-bounded organelle; other,6,9
A0FGR9_449_488,calcium ion binding; phosphatidylinositol binding; metal ion binding; other,cytoplasm; endoplasmic reticulum; endoplasmic reticulum membrane; plasma membrane; membrane; extrinsic component of membrane; intracellular membrane-bounded organelle; other,4,8
A0FGR9_580_758,calcium ion binding; phosphatidylinositol binding; metal ion binding; other,cytoplasm; endoplasmic reticulum; endoplasmic reticulum membrane; plasma membrane; membrane; extrinsic component of membrane; intracellular membrane-bounded organelle; other,4,8
A0FGR9_1_117,calcium ion binding; phosphatidylinositol binding; metal ion binding; other,cytoplasm; endoplasmic reticulum; endoplasmic reticulum membrane; plasma membrane; membrane; extrinsic component of membrane; intracellular membrane-bounded organelle; other,4,8
A0JLT2_162_244,transcription coregulator activity,nucleus; transcription regulator complex; protein-containing complex; intracellular membrane-bounded organelle,1,4
A0JLT2_1_68,transcription coregulator activity,nucleus; transcription regulator complex; protein-containing complex; intracellular membrane-bounded organelle,1,4
A0JNW5_407_458,identical protein binding; protein homodimerization activity; protein-containing complex binding; protein dimerization activity,cytoplasm; endosome; early endosome; cytosol; cytoplasmic vesicle; intracellular membrane-bounded organelle,4,6
A0JNW5_733_807,identical protein binding; protein homodimerization activity; protein-containing complex binding; protein dimerization activity,cytoplasm; endosome; early endosome; cytosol; cytoplasmic vesicle; intracellular membrane-bounded organelle,4,6
A0JNW5_870_1192,identical protein binding; protein homodimerization activity; protein-containing complex binding; protein dimerization activity,cytoplasm; endosome; early endosome; cytosol; cytoplasmic vesicle; intracellular membrane-bounded organelle,4,6
A0JNW5_1351_1429,identical protein binding; protein homodimerization activity; protein-containing complex binding; protein dimerization activity,cytoplasm; endosome; early endosome; cytosol; cytoplasmic vesicle; intracellular membrane-bounded organelle,4,6
A0JNW5_264_307,identical protein binding; protein homodimerization activity; protein-containing complex binding; protein dimerization activity,cytoplasm; endosome; early endosome; cytosol; cytoplasmic vesicle; intracellular membrane-bounded organelle,4,6
A0JP26_1_131,,,0,0
A0JP26_367_499,,,0,0
A0MZ66_108_138,actin binding; identical protein binding; protein-containing complex binding; cadherin binding; actin filament binding; other,cytoplasm; cytoskeleton; microtubule; microtubule cytoskeleton; lamellipodium; axon; growth cone; protein-containing complex; cell projection; neuron projection; neuronal cell body; perikaryon; perinuclear region of cytoplasm; other,6,14
A0MZ66_349_631,actin binding; identical protein binding; protein-containing complex binding; cadherin binding; actin filament binding; other,cytoplasm; cytoskeleton; microtubule; microtubule cytoskeleton; lamellipodium; axon; growth cone; protein-containing complex; cell projection; neuron projection; neuronal cell body; perikaryon; perinuclear region of cytoplasm; other,6,14
A0PG75_1_66,other,plasma membrane; membrane,1,2
A0PJW6_1_36,protein-containing complex binding,cytoplasm; mitochondrion; intracellular membrane-bounded organelle,1,3
A0PJW8_1_59,protein domain specific binding,,1,0
A0PJX2_1_45,,nucleus; intracellular membrane-bounded organelle,0,2
A0PJX4_124_238,,cytoplasm; endoplasmic reticulum; endoplasmic reticulum membrane; membrane; intracellular membrane-bounded organelle,0,5
A0PJX8_310_343,,,0,0
A0PJY2_421_475,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription repressor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; nucleoplasm; cytoplasm; cytosol; intracellular membrane-bounded organelle,11,5
A0PJY2_1_264,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription repressor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; nucleoplasm; cytoplasm; cytosol; intracellular membrane-bounded organelle,11,5
A0PJZ0_1_33,,,0,0
A0PJZ3_1_109,other,,1,0
A0PK05_67_275,,,0,0
A1A4F0_1_135,other,cytoplasm; lysosome; lysosomal membrane; membrane; intracellular membrane-bounded organelle,1,5
A1A4G5_1_178,,,0,0
A1A4S6_361_392,GTPase activator activity,cytoplasm; cytosol; plasma membrane; membrane; perinuclear region of cytoplasm,1,5
A1A4S6_577_734,GTPase activator activity,cytoplasm; cytosol; plasma membrane; membrane; perinuclear region of cytoplasm,1,5
A1A4V9_1_69,,cytoplasm; cilium; cytoplasmic vesicle; cell projection; intracellular membrane-bounded organelle,0,5
A1A4V9_230_278,,cytoplasm; cilium; cytoplasmic vesicle; cell projection; intracellular membrane-bounded organelle,0,5
A1A519_271_330,nucleic acid binding; DNA binding; metal ion binding,nucleus; intracellular membrane-bounded organelle,3,2
A1A519_1_222,nucleic acid binding; DNA binding; metal ion binding,nucleus; intracellular membrane-bounded organelle,3,2
A1A580_1_65,,cytoplasm; cytosol; cytoskeleton,0,3
A1A5B4_748_782,other,plasma membrane; membrane,1,2
A1A5B4_1_41,other,plasma membrane; membrane,1,2
A1A5B4_88_121,other,plasma membrane; membrane,1,2
A1A5C7_1_86,other,plasma membrane; membrane,1,2
A1A5C7_123_208,other,plasma membrane; membrane,1,2
A1A5C7_630_686,other,plasma membrane; membrane,1,2
A1A5D9_475_508,enzyme binding; small GTPase binding,cytoplasm,2,1
A1A5D9_283_354,enzyme binding; small GTPase binding,cytoplasm,2,1
A1A5D9_1_53,enzyme binding; small GTPase binding,cytoplasm,2,1
A1E959_1_279,,extracellular region; extracellular space; nucleus; nucleoplasm; cytoplasm; spindle; cytosol; cytoskeleton; microtubule cytoskeleton; intracellular membrane-bounded organelle; mitotic spindle; other,0,12
A1IGU5_566_615,guanyl-nucleotide exchange factor activity,cytoplasm; cytosol,1,2
A1KXE4_1_195,,extracellular region; extracellular space; cytoplasm; plasma membrane; membrane; axon; cell projection; neuron projection; perinuclear region of cytoplasm; extracellular exosome,0,10
A1KZ92_1296_1463,metal ion binding; other,extracellular region; extracellular space; cytoplasm; endoplasmic reticulum; plasma membrane; membrane; intracellular membrane-bounded organelle,2,7
A1L020_1_122,nucleic acid binding; RNA binding; metal ion binding,nucleus; cytoplasm; cytosol; intracellular membrane-bounded organelle,3,4
A1L020_292_469,nucleic acid binding; RNA binding; metal ion binding,nucleus; cytoplasm; cytosol; intracellular membrane-bounded organelle,3,4
A1L162_127_156,,,0,0
A1L162_1_53,,,0,0
A1L168_82_122,,,0,0
A1L170_1_272,,,0,0
A1L1A6_1_45,,,0,0
A1L390_1_95,actin binding; guanyl-nucleotide exchange factor activity,cytoplasm; cytosol; cytoskeleton,2,3
A1L390_403_1219,actin binding; guanyl-nucleotide exchange factor activity,cytoplasm; cytosol; cytoskeleton,2,3
A1L3X4_1_49,metal ion binding,nucleus; cytoplasm; intracellular membrane-bounded organelle,1,3
A1L429_1_117,,,0,0
A1L443_1_210,,,0,0
A1L443_301_756,,,0,0
A1L453_1_54,other,extracellular region,1,1
A1L4H1_397_471,other,extracellular region; extracellular space; cytoplasm; membrane; extracellular matrix; collagen-containing extracellular matrix,1,6
A1L4H1_866_1497,other,extracellular region; extracellular space; cytoplasm; membrane; extracellular matrix; collagen-containing extracellular matrix,1,6
A1L4H1_562_777,other,extracellular region; extracellular space; cytoplasm; membrane; extracellular matrix; collagen-containing extracellular matrix,1,6
A1L4H1_114_204,other,extracellular region; extracellular space; cytoplasm; membrane; extracellular matrix; collagen-containing extracellular matrix,1,6
A1L4H1_1535_1573,other,extracellular region; extracellular space; cytoplasm; membrane; extracellular matrix; collagen-containing extracellular matrix,1,6
A1L4K1_1_193,,nucleus; cytoplasm; endoplasmic reticulum; intracellular membrane-bounded organelle; perinuclear region of cytoplasm,0,5
A1L4L8_1_59,,,0,0
A1L4Q6_1_167,,,0,0
A1X283_127_217,protein domain specific binding; phosphatidylinositol binding; other,cytoplasm; cytoskeleton; actin cytoskeleton; cell junction; cell projection; anchoring junction,3,6
A1X283_272_378,protein domain specific binding; phosphatidylinositol binding; other,cytoplasm; cytoskeleton; actin cytoskeleton; cell junction; cell projection; anchoring junction,3,6
A1X283_419_860,protein domain specific binding; phosphatidylinositol binding; other,cytoplasm; cytoskeleton; actin cytoskeleton; cell junction; cell projection; anchoring junction,3,6
A1XBS5_231_289,other,nucleus; cytoplasm; mitochondrion; mitochondrial inner membrane; centriole; microtubule organizing center; cytoskeleton; cilium; microtubule cytoskeleton; membrane; extrinsic component of membrane; ciliary basal body; cell projection; intracellular membrane-bounded organelle,1,14
A1YPR0_124_373,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,10,2
A1YPR0_462_619,"transcription cis-regulatory region binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; nucleic acid binding; DNA binding; DNA-binding transcription factor activity; sequence-specific DNA binding; metal ion binding; sequence-specific double-stranded DNA binding",nucleus; intracellular membrane-bounded organelle,10,2
A1Z1Q3_243_425,other,nucleus; nucleoplasm; nucleolus; intracellular membrane-bounded organelle,1,4
A2A288_44_84,nucleic acid binding; RNA binding; mRNA binding; metal ion binding; other,nucleus; nucleoplasm; cytoplasm; intracellular membrane-bounded organelle,5,4
A2A288_282_480,nucleic acid binding; RNA binding; mRNA binding; metal ion binding; other,nucleus; nucleoplasm; cytoplasm; intracellular membrane-bounded organelle,5,4
A2A2V5_70_107,,intracellular membrane-bounded organelle,0,1
A2A2V5_1_35,,intracellular membrane-bounded organelle,0,1
A2A2Y4_357_510,other,cytoskeleton,1,1
A2A2Y4_1_32,other,cytoskeleton,1,1
A2A2Z9_257_345,,,0,0
A2A2Z9_1_33,,,0,0
A2A2Z9_929_1011,,,0,0
A2A2Z9_524_754,,,0,0
A2A368_1_113,,nucleus; intracellular membrane-bounded organelle,0,2
A2A3K4_1_37,other,nucleus; nucleoplasm; cytoplasm; intracellular membrane-bounded organelle,1,4
A2A3K4_322_587,other,nucleus; nucleoplasm; cytoplasm; intracellular membrane-bounded organelle,1,4
A2A3L6_407_582,,,0,0
A2A3N6_1_35,other,cytoplasm; plasma membrane; membrane,1,3
A2A3N6_277_497,other,cytoplasm; plasma membrane; membrane,1,3
A2A3N6_659_862,other,cytoplasm; plasma membrane; membrane,1,3
